2022-01-23/22:26:00		Error occured during during validation of column number..!
2022-01-23/22:32:59		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:32:59		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:32:59		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:32:59		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:35:00		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:35:00		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:35:00		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:35:00		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:42:07		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:42:07		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:42:07		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:42:07		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:42:10		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:42:10		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:42:10		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:42:10		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:42:23		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:42:23		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:42:24		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:42:24		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:43:13		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:43:13		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:43:13		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:43:13		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:47:45		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:47:45		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:47:45		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:47:45		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:48:36		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:48:36		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:48:36		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:48:36		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:54:48		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:54:48		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:54:48		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:54:48		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:55:48		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:55:48		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:55:48		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:55:48		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:56:14		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:56:14		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:56:14		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:56:14		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:56:30		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:56:30		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:56:30		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:56:31		column length validation failed Concrete_Data_3.csv moved to BadData folder
2022-01-23/22:56:53		column length validation passed Concrete_Data.csv moved to GoodData folder
2022-01-23/22:56:53		column length validation passed Concrete_Data_1.csv moved to GoodData folder
2022-01-23/22:56:53		column length validation passed Concrete_Data_2.csv moved to GoodData folder
2022-01-23/22:56:53		column length validation failed Concrete_Data_3.csv moved to BadData folder
